tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,kota
2020-04-23,24,34,29.2,81,,9.8,4,30,Serang
2020-04-24,25.8,30.6,26.4,94,0,6.8,2,30,Serang
2020-04-25,23.6,33.8,27.8,81,18.6,0.2,4,60,Serang
2020-04-26,23.9,32.8,28.1,83,0,7.5,3,30,Serang
2020-04-27,25.4,31.6,26.5,90,2.1,6.1,4,250,Serang
2020-04-28,24.6,33,27.7,84,13.8,1.3,2,30,Serang
2020-04-29,24,30.6,27.3,83,,2.8,2,350,Serang
2020-04-30,24.8,30.6,27.3,84,0,0.7,3,30,Serang
2020-05-01,25,32.4,27.9,84,0,0.1,4,30,Serang
2020-05-02,23.4,30.7,26.7,85,21.8,3.8,3,310,Serang
2020-05-03,23.6,32.8,27.8,84,,0,4,350,Serang
2020-05-04,25.2,31.6,26.6,94,8,3.8,2,60,Serang
2020-05-05,24.8,31.6,27.8,86,15.2,0.3,3,360,Serang
2020-05-06,25.2,33.3,27.7,86,,2.6,3,40,Serang
2020-05-07,24.6,34.4,28.5,79,5.5,2.1,5,30,Serang
2020-05-08,25,33,28.3,83,0,8.7,3,10,Serang
2020-05-09,25,31.5,,,1.6,3.5,3,240,Serang
2020-05-10,25.4,32.8,27.7,86,,0,2,60,Serang
2020-05-11,24.8,33.2,28.4,83,17.5,4.8,3,30,Serang
2020-05-12,25,33.8,28.3,82,3.9,3.5,4,10,Serang
2020-05-13,25.2,31.6,28,87,26,7.8,4,30,Serang
2020-05-14,25.4,33.6,28.9,79,0.2,3.5,4,70,Serang
2020-05-15,24.8,33.6,28.7,79,0,8,5,20,Serang
2020-05-16,25,34,28.8,78,0,8.6,5,40,Serang
2020-05-17,24.2,34.4,29,77,,10.5,4,120,Serang
2020-05-18,24.6,32.2,26.5,90,4.6,5.5,3,250,Serang
2020-05-19,23,33.2,28,83,53.2,0.5,3,360,Serang
2020-05-20,24.8,33,27.9,86,0,5.3,6,350,Serang
2020-05-21,24,32.4,27.9,83,24.4,6.3,2,230,Serang
2020-05-22,24.6,34.2,28.4,82,0,1.5,3,10,Serang
2020-05-23,23.6,33.2,28,80,3.7,8.8,3,240,Serang
2020-05-24,24.8,33.8,29.1,77,0,5.5,4,190,Serang
2020-05-25,25.4,33.6,29.6,77,0,10.1,6,310,Serang
2020-05-26,25,32.6,28.3,80,0,10,4,270,Serang
2020-05-27,25.2,32.6,28.2,79,,1.6,3,320,Serang
2020-05-28,25,33.4,28.4,81,0,1.3,2,340,Serang
2020-05-29,24.8,34.4,28.9,79,0,2.8,3,30,Serang
2020-05-30,25,34,28.9,80,0,8.1,3,20,Serang
2020-05-31,25,33.2,27.4,86,0,8.1,4,100,Serang
2020-06-01,24,33.4,27.3,84,0,5,3,220,Serang
2020-06-02,24.8,33.4,28.3,81,4,4.7,4,20,Serang
2020-06-03,25,33.2,27.9,84,3.6,6.2,4,80,Serang
2020-06-04,24.4,34.2,28.6,75,,7.5,4,120,Serang
2020-06-05,24.8,33.3,27.3,83,0,9,2,340,Serang
2020-06-06,24.4,32.8,28,80,0,2.2,3,170,Serang
2020-06-07,24.8,33,28.3,79,0,3.3,6,30,Serang
2020-06-08,25.2,32.4,28.5,79,0,3.7,3,10,Serang
2020-06-09,24,32.4,27.4,84,6.8,5.6,3,10,Serang
2020-06-10,23.6,33.6,28.7,79,0,6,3,30,Serang
2020-06-11,25.4,32.1,27.4,85,0,9.5,3,50,Serang
2020-06-12,24.8,32.6,27.5,83,12.7,3.3,3,350,Serang
2020-06-13,24,33,27.8,80,0,5.3,3,350,Serang
2020-06-14,24.4,32.6,28.6,78,0,5.3,2,120,Serang
2020-06-15,25.6,33.4,28,84,0,7.3,3,120,Serang
2020-06-16,23.6,33,28.7,80,9.4,0,5,40,Serang
2020-06-17,24.8,33.6,28.7,81,,8.5,2,50,Serang
2020-06-18,24.6,32.2,26.9,87,0,5.2,4,120,Serang
2020-06-19,24.2,31.4,26.9,87,17.1,3.6,3,130,Serang
2020-06-20,23.8,32.6,27.6,82,4.3,5,3,270,Serang
2020-06-21,24.2,33.8,27.7,82,0,5.2,4,340,Serang
2020-06-22,23.8,29.8,26.8,87,4.6,5.2,3,360,Serang
2020-06-23,24.2,31.2,27,86,17.4,0,2,80,Serang
2020-06-24,24.2,32.2,27.6,82,0,7.1,3,310,Serang
2020-06-25,23.3,33.4,27.6,80,0,3.8,4,350,Serang
2020-06-26,23.8,33.2,28.1,80,0,5.5,4,20,Serang
2020-06-27,24.6,33,27.3,82,0,5.7,4,40,Serang
2020-06-28,23.6,33.4,28.4,77,0,7.2,3,20,Serang
2020-06-29,24.6,32.6,27.9,79,0,7.4,3,130,Serang
2020-06-30,24.2,32.8,27.9,79,0,3.9,4,40,Serang
2020-07-01,24.8,33.2,28.1,79,0,5.6,5,320,Serang
2020-07-02,25,33.4,26.3,84,0,3.4,4,330,Serang
2020-07-03,24,33.4,27.6,78,0,0,3,80,Serang
2020-07-04,23.8,32.2,27.8,79,,4,3,50,Serang
2020-07-05,24.2,32.8,27.8,75,0,2.6,8,50,Serang
2020-07-06,24,33,28,75,0,9.5,4,40,Serang
2020-07-07,24.2,33,27.7,79,1.5,4.5,4,40,Serang
2020-07-08,24.6,33.2,27.1,83,0,6.1,3,310,Serang
2020-07-09,23.2,32.4,27.1,80,5.6,3.5,4,20,Serang
2020-07-10,23,32.8,27.3,81,0,4,3,10,Serang
2020-07-11,24,32.3,27.6,80,,3.8,4,10,Serang
2020-07-12,23.4,33.6,28.2,79,0.2,7.7,4,30,Serang
2020-07-13,24.8,33,27.8,80,,5.2,3,60,Serang
2020-07-14,24.2,33.2,27.4,84,0,3.9,4,90,Serang
2020-07-15,23.8,31.2,26.8,82,5.8,4,3,80,Serang
2020-07-16,24.2,31.4,27.6,82,,1.1,4,70,Serang
2020-07-17,23.6,33.6,28.4,76,,2.6,2,130,Serang
2020-07-18,24.6,33.2,28,81,,7.8,4,50,Serang
2020-07-19,24.2,33.8,28.2,78,0,6.1,4,30,Serang
2020-07-20,24,33.4,27.7,80,0,8.1,3,10,Serang
2020-07-21,23.8,33.6,27.7,80,2.3,7.8,4,20,Serang
2020-07-22,23.8,32.8,27.8,83,15.5,7.8,6,30,Serang
2020-07-23,24.5,33.1,28.2,80,0,8.8,5,310,Serang
2020-07-24,24.6,33.6,28.2,78,0,7.3,3,20,Serang
2020-07-25,24.8,32.8,28.1,76,0,7.8,3,10,Serang
2020-07-26,23.6,32.2,27,75,0,5.1,4,40,Serang
2020-07-27,22.6,32.8,27,74,0,8.8,3,20,Serang
2020-07-28,22.2,33.2,26.7,76,0,7.8,3,40,Serang
2020-07-29,22.4,33.6,27,76,0,9.2,4,340,Serang
2020-07-30,23.2,33.6,27.1,77,0,8.6,3,300,Serang
2020-07-31,22.4,32.6,26.6,72,0,3,5,20,Serang
2020-08-01,21,33,26.1,72,0,6.3,4,40,Serang
2020-08-02,20.8,33.4,26.2,74,0,9.5,3,360,Serang
2020-08-03,21.8,32.8,26.8,77,0,7.8,4,20,Serang
2020-08-04,21.6,32.6,28.3,78,,8,4,10,Serang
2020-08-05,24.2,33.6,27.9,76,0,4.5,4,320,Serang
2020-08-06,24.4,33.2,27.9,80,0,8.1,4,340,Serang
2020-08-07,24.2,32.8,27.7,79,0,6.2,4,10,Serang
2020-08-08,24,33,27.9,79,0,6.5,3,50,Serang
2020-08-09,23.2,33.5,27.4,76,0,6.1,4,260,Serang
2020-08-10,23.3,32.4,27.9,82,,6,5,20,Serang
2020-08-11,24.8,33,28,79,0,2.2,3,30,Serang
2020-08-12,24.8,33.2,28.3,80,,1,5,50,Serang
2020-08-13,24.2,31,25.7,91,,2,4,270,Serang
2020-08-14,22.6,30.6,26.5,84,24.3,1.5,3,90,Serang
2020-08-15,23,32,27.5,80,0,4.2,6,20,Serang
2020-08-16,24.6,32.6,28,80,0,9.5,4,50,Serang
2020-08-17,23.8,33,27.5,82,1,8.8,4,40,Serang
2020-08-18,23.6,32.6,27.8,75,0,8.2,3,50,Serang
2020-08-19,23.4,33,27.7,77,0,6.1,4,360,Serang
2020-08-20,23.6,31.3,27.8,80,,9.5,6,70,Serang
2020-08-21,24.2,32.4,27.7,75,3.5,4.9,7,80,Serang
2020-08-22,23.2,32.2,27.6,73,0,10.2,3,40,Serang
2020-08-23,22.8,33.8,27.8,74,,8.3,4,30,Serang
2020-08-24,23.8,33.4,27.6,78,0,9.4,5,10,Serang
2020-08-25,22.6,33.6,28,71,0,8.3,4,20,Serang
2020-08-26,22.8,33.6,27.6,72,0,10.2,6,30,Serang
2020-08-27,23.6,33.5,27.6,74,0,10.1,7,10,Serang
2020-08-28,22.2,33,26.7,74,0,10.1,3,30,Serang
2020-08-29,22.5,34.6,28.3,70,0,8.7,3,10,Serang
2020-08-30,24.5,33.8,28.1,75,0,8.7,5,320,Serang
2020-08-31,22.2,34.6,28.6,72,0,8.3,4,20,Serang
2020-09-01,22.8,34.6,28.1,70,0,8.5,4,20,Serang
2020-09-02,23.2,33.1,27.2,76,,9.3,5,150,Serang
2020-09-03,24.2,33.6,27.9,80,0.3,3.7,4,20,Serang
2020-09-04,24.8,33,28.3,79,0,4.2,4,30,Serang
2020-09-05,24.6,34.1,28.3,76,,6.6,6,300,Serang
2020-09-06,23.2,33.4,27.4,77,0,9.3,5,40,Serang
2020-09-07,23.8,34,28.3,76,,8.5,5,20,Serang
2020-09-08,23.7,34.2,28,74,0,8.1,5,30,Serang
2020-09-09,24.2,33.6,29.4,68,0,9.6,4,40,Serang
2020-09-10,23.8,34.1,27.3,80,0,7.3,4,40,Serang
2020-09-11,23.6,33,27.6,78,8.8,2.8,3,40,Serang
2020-09-12,24.1,34,28.5,73,,1.5,3,10,Serang
2020-09-13,23.8,34.4,28.2,70,0,8.7,4,340,Serang
2020-09-14,23.6,32.4,27.2,79,0,4.5,5,260,Serang
2020-09-15,,,,,,,,,Serang
2020-09-16,,,,,,,,,Serang
2020-09-17,,,,,,,,,Serang
2020-09-18,,,,,,,,,Serang
2020-09-19,,,,,,,,,Serang
2020-09-20,,,,,,,,,Serang
2020-09-21,,,,,,,,,Serang
2020-09-22,,,,,,,,,Serang
2020-09-23,,,,,,,,,Serang
2020-09-24,,,,,,,,,Serang
2020-09-25,,,,,,,,,Serang
2020-09-26,,,,,,,,,Serang
2020-09-27,,,,,,,,,Serang
2020-09-28,22.8,34.3,26.9,79,0.3,2,5,10,Serang
2020-09-29,23.6,34.6,28.3,74,,5.2,6,330,Serang
2020-09-30,23.6,34.4,28.4,75,0,5.2,7,10,Serang
2020-10-01,24.8,34.8,29.2,75,0,10.5,4,40,Serang
2020-10-02,24,32.8,26.8,84,0,9.2,3,140,Serang
2020-10-03,24.3,30,25.5,88,7.8,4,7,80,Serang
2020-10-04,22.2,33.2,27.1,78,3.5,0.6,4,280,Serang
2020-10-05,23.2,34.2,28.6,69,0,8.1,3,290,Serang
2020-10-06,24.6,34,28.4,75,0,7,3,360,Serang
2020-10-07,23.4,32.8,27.8,78,0,6,3,350,Serang
2020-10-08,24.2,32.2,27.4,81,0,6.1,6,330,Serang
2020-10-09,25,30.4,27.4,80,0.2,3.2,3,330,Serang
2020-10-10,24,32.4,27.7,78,0,0.1,3,90,Serang
2020-10-11,24.7,32.4,27.3,85,0.4,0.6,3,290,Serang
2020-10-12,23.2,34.2,27.9,74,0.8,2.2,3,10,Serang
2020-10-13,23,34.2,28.6,72,0,5,4,340,Serang
2020-10-14,24.8,34.6,28.7,75,0,5.3,4,10,Serang
2020-10-15,25,33.9,28.6,73,0,5.7,4,340,Serang
2020-10-16,24.6,34,28.2,77,0,4.2,5,70,Serang
2020-10-17,25.2,33.2,28.5,76,1.6,4,3,10,Serang
2020-10-18,,34.8,28.7,73,,8.5,6,340,Serang
2020-10-19,23.6,33.9,28,75,0,8,3,20,Serang
2020-10-20,24,34.4,28.3,78,0,5.6,6,30,Serang
2020-10-21,24.8,33.5,27.5,82,,6.8,3,10,Serang
2020-10-22,24.8,30.8,27.1,82,7.3,2.8,4,240,Serang
2020-10-23,25.2,34.4,28.8,71,0.6,0.6,6,190,Serang
2020-10-24,22.8,33,28,77,0,7.8,4,280,Serang
2020-10-25,24.8,31.8,27.8,81,5.4,5,3,300,Serang
2020-10-26,23.8,34,25.8,90,0,4.2,3,330,Serang
2020-10-27,24.6,31.4,27.8,79,15.8,3.6,4,240,Serang
2020-10-28,24.2,33.2,27.7,80,0,0.6,2,80,Serang
2020-10-29,23.8,33.8,28.8,76,2.3,7.1,4,50,Serang
2020-10-30,24.4,30.8,27.1,86,0.4,7.5,3,350,Serang
2020-10-31,23.8,31.2,25.8,90,16,1.6,3,250,Serang
2020-11-01,24.8,31.8,26.3,88,1.2,1,5,240,Serang
2020-11-02,24.6,31.6,26.6,84,11.5,3.6,4,240,Serang
2020-11-03,23,33.2,27,80,,1.6,4,230,Serang
2020-11-04,23,33.6,27.2,82,0,6.2,2,330,Serang
2020-11-05,24,28.4,26,83,20.6,4.4,3,110,Serang
2020-11-06,23.8,30.7,26.3,87,6.1,0,4,340,Serang
2020-11-07,23.4,32.4,27.3,80,0.1,2.7,2,70,Serang
2020-11-08,23.2,34,28.9,75,0,4.8,4,20,Serang
2020-11-09,23.7,34,28.4,76,0,7,3,360,Serang
2020-11-10,24.6,31.4,27.6,82,0,7.7,3,220,Serang
2020-11-11,23.2,34.2,28.5,76,0.4,3.5,4,60,Serang
2020-11-12,25,33.3,28,84,0.4,8.5,3,20,Serang
2020-11-13,24.4,34.4,29.8,74,0.7,3.7,4,40,Serang
2020-11-14,24.9,34.7,29.2,80,15.2,10.6,4,20,Serang
2020-11-15,25,33,28.5,78,,6.6,6,10,Serang
2020-11-16,25.4,33.4,28.7,80,0.1,5,4,60,Serang
2020-11-17,24.8,32.9,27.8,84,2.1,3.3,3,340,Serang
2020-11-18,24.8,34,28.2,80,0,4.6,3,40,Serang
2020-11-19,23.8,34.8,29,75,0,4.9,3,80,Serang
2020-11-20,25.5,31.8,27,89,0,9.6,3,70,Serang
2020-11-21,23.6,33.8,28.4,79,19.2,2.8,3,40,Serang
2020-11-22,25,32.1,27.5,83,0,10.2,3,220,Serang
2020-11-23,23.8,31.5,26.8,86,1.2,2.5,3,200,Serang
2020-11-24,22.8,32.6,27.4,79,39,0,4,240,Serang
2020-11-25,24.6,32.4,29.4,71,0,0.8,5,220,Serang
2020-11-26,25.6,33.7,28.9,72,0,5.1,6,230,Serang
2020-11-27,24.8,32.9,28.3,75,0,9.2,4,260,Serang
2020-11-28,24.2,33.2,27.9,74,0,2.4,4,240,Serang
2020-11-29,25.1,30.4,26.6,82,,6.4,7,250,Serang
2020-11-30,22.6,30,26.3,85,13.3,1.3,4,240,Serang
2020-12-01,24,31.8,27.3,80,9.6,0,7,250,Serang
2020-12-02,24.2,34.2,29.5,69,0,7,4,250,Serang
2020-12-03,23.2,29.1,25.6,88,94,10.5,2,250,Serang
2020-12-04,22.6,33.2,28.4,76,,0,8,280,Serang
2020-12-05,25,30,27.2,78,0.3,7.3,6,270,Serang
2020-12-06,24.2,30.4,27.5,79,15.7,3.9,7,250,Serang
2020-12-07,23.4,29,25.8,88,25.6,0,7,270,Serang
2020-12-08,24.2,31.2,27.8,82,5.7,0,6,240,Serang
2020-12-09,,31.7,28.9,72,23.1,5.6,5,240,Serang
2020-12-10,25.4,32,27.9,78,2.7,7.3,4,280,Serang
2020-12-11,25.4,33,27.2,82,0.6,5.7,4,30,Serang
2020-12-12,24,31.7,26.9,79,1.7,3.8,4,220,Serang
2020-12-13,24,30,27.4,78,0.3,3,4,290,Serang
2020-12-14,25.4,31.6,27.5,77,,0.2,5,290,Serang
2020-12-15,25,32.2,28.3,77,,6.1,6,230,Serang
2020-12-16,24,31.2,26.9,82,10,6.3,5,200,Serang
2020-12-17,24.4,32.2,26.9,83,1.2,0,6,270,Serang
2020-12-18,23.2,29,25.6,89,13.4,3.5,3,270,Serang
2020-12-19,23.8,30,26.5,86,3.6,0.4,3,270,Serang
2020-12-20,23.9,30.2,25.5,89,8.3,1.8,4,230,Serang
2020-12-21,23.6,29.9,26.3,87,15.3,3,5,210,Serang
2020-12-22,23.8,30.6,26.3,85,6.3,1.3,2,260,Serang
2020-12-23,22.8,33.8,27.1,79,2,0.5,4,240,Serang
2020-12-24,22.4,30.3,25.7,81,,6,8,230,Serang
2020-12-25,23.6,32,28.4,75,2.6,1,4,260,Serang
2020-12-26,,32.4,26.5,81,7.7,5,3,250,Serang
2020-12-27,23.2,34,28.6,74,,4.5,3,310,Serang
2020-12-28,23.8,32.2,27.7,79,2.4,6.2,4,270,Serang
2020-12-29,24.2,30.2,27,80,0.4,4.6,3,250,Serang
2020-12-30,24.2,31.3,26.7,82,3.4,0.7,3,250,Serang
2020-12-31,23.8,32.2,27.2,80,1.5,2.8,4,280,Serang
2021-01-01,23.8,32,27.3,81,4.5,2.6,3,280,Serang
2021-01-02,23.1,31.4,27.1,80,10.2,4.8,4,250,Serang
2021-01-03,23.2,32.4,27.7,80,0,4.9,4,250,Serang
2021-01-04,25.2,32.3,28,79,,1,8,250,Serang
2021-01-05,25.2,30.8,27.6,81,0,5.3,4,30,Serang
2021-01-06,23.6,33,26.9,85,3.4,0.3,3,290,Serang
2021-01-07,23.3,31.8,26.7,84,9.7,6.2,3,360,Serang
2021-01-08,23.6,31.9,28.1,78,,2.9,3,330,Serang
2021-01-09,24.4,31.5,26.8,82,0.8,0.6,3,260,Serang
2021-01-10,23.6,31.4,27.4,78,13.6,2.9,4,250,Serang
2021-01-11,24.4,33.2,28.2,74,0,0.2,3,280,Serang
2021-01-12,24,30.4,26.8,84,22.4,4.8,3,280,Serang
2021-01-13,,31,27.7,79,0.6,3.2,3,310,Serang
2021-01-14,25.2,29.6,27,81,0,0,3,290,Serang
2021-01-15,24.8,31.2,27,82,0,0,4,40,Serang
2021-01-16,24.2,32.5,27.8,78,0.4,0.1,5,240,Serang
2021-01-17,23.8,32,27.7,79,0,9.5,3,320,Serang
2021-01-18,23.8,29.4,27.2,82,0.6,2.8,5,320,Serang
2021-01-19,23.8,29.6,26.1,82,1.1,0.4,4,30,Serang
2021-01-20,23.8,30.4,26.7,83,7,1.1,5,10,Serang
2021-01-21,23.6,28.7,26.6,88,4,4.5,2,280,Serang
2021-01-22,23.6,30.2,26,86,0,0,3,360,Serang
2021-01-23,23.6,31.2,26.7,86,,1.8,4,350,Serang
2021-01-24,23.8,26.6,25.2,95,25.8,3.1,2,280,Serang
2021-01-25,23,32.6,26.7,83,7.6,0,2,310,Serang
2021-01-26,23,30.4,26.2,86,0.2,3.9,3,270,Serang
2021-01-27,23,28.4,26,88,34.5,1.2,4,240,Serang
2021-01-28,23.2,28.2,25.3,86,19.6,0,4,210,Serang
2021-01-29,22.9,31.6,26.5,84,6.3,0.1,3,240,Serang
2021-01-30,23.8,30.4,26,90,13.1,2.4,3,10,Serang
2021-01-31,23.9,29.6,26.6,82,13.3,1.1,4,300,Serang
2021-02-01,23.2,32.5,26.9,84,,0.5,4,10,Serang
2021-02-02,23.4,32.6,27.4,82,15.6,5.5,3,340,Serang
2021-02-03,23.6,29.9,26,90,59.1,5.8,4,330,Serang
2021-02-04,24,30.7,26.2,88,2.2,0,4,20,Serang
2021-02-05,24.1,31.8,27.4,82,21.4,5.9,5,10,Serang
2021-02-06,23.6,32,27.2,84,8.4,8.5,3,300,Serang
2021-02-07,24.8,29.6,26.1,91,6.4,8.6,4,30,Serang
2021-02-08,23.8,32.6,27,86,36.6,2.5,3,330,Serang
2021-02-09,24,32.8,27.8,82,2.7,7.2,3,260,Serang
2021-02-10,25.1,31,27.4,80,0,5.2,3,270,Serang
2021-02-11,24.2,31.9,27.5,82,1.9,1,3,240,Serang
2021-02-12,23.8,32.4,27.2,85,0,6.1,3,330,Serang
2021-02-13,24.4,31,27,88,0.5,5,3,20,Serang
2021-02-14,24.6,30.2,27.4,87,9.8,2.3,4,20,Serang
2021-02-15,24.2,31,27.1,87,11.2,0.6,4,330,Serang
2021-02-16,24.8,29.9,27.2,81,,4,4,40,Serang
2021-02-17,23.4,30,25.9,88,11.4,1,3,310,Serang
2021-02-18,23.8,30.7,25,93,,0.4,4,310,Serang
2021-02-19,23.4,29.6,26.4,82,33,1.4,4,20,Serang
2021-02-20,23.5,31,27.1,79,8.7,1.3,4,320,Serang
2021-02-21,23.2,30.6,26.8,84,8.8,2.5,5,30,Serang
2021-02-22,24.2,31.6,27.1,86,,7.1,3,10,Serang
2021-02-23,24.2,32.8,27.5,82,0,5.2,5,240,Serang
2021-02-24,24,31.1,25.4,90,7,1.7,4,250,Serang
2021-02-25,23.6,31.6,27,84,16.8,2.2,4,310,Serang
2021-02-26,23.2,31.7,27,85,3.7,8,5,350,Serang
2021-02-27,23,31.7,26.9,83,18,7.3,3,350,Serang
2021-02-28,23,33,28.6,75,0,6.5,6,240,Serang
2021-03-01,25.3,35.1,29.5,74,,9.7,4,280,Serang
2021-03-02,23.5,30.2,26.4,90,25.5,5.6,3,10,Serang
2021-03-03,23.4,32.3,27.3,85,3.8,1.5,3,40,Serang
2021-03-04,23.4,32.3,26.7,87,23.2,4.1,4,20,Serang
2021-03-05,23.4,32.4,27.6,84,8.2,6.2,4,320,Serang
2021-03-06,24,33.2,27.1,84,,5,5,10,Serang
2021-03-07,24.6,33,27.2,80,1.5,5,4,330,Serang
2021-03-08,23.6,30.6,26.2,82,0.1,5,4,290,Serang
2021-03-09,23.6,32.7,27.9,76,,1.1,4,310,Serang
2021-03-10,24.2,30.6,27.3,84,1.6,7.7,5,240,Serang
2021-03-11,22.6,31.2,26.3,86,17.9,4.5,3,20,Serang
2021-03-12,23.1,31,26.9,81,0.2,5.2,3,310,Serang
2021-03-13,23,33.4,28.1,73,0,2,5,220,Serang
2021-03-14,23.8,30.6,25.7,86,,9.1,4,240,Serang
2021-03-15,23.9,31.7,27.3,85,5.8,2.4,4,10,Serang
2021-03-16,24,31,25.5,92,0,2.1,3,290,Serang
2021-03-17,22.8,33.6,27.5,78,12.6,2.4,3,300,Serang
2021-03-18,23,34,27.8,79,0,9,3,350,Serang
2021-03-19,23.8,33,28.2,78,0,9.1,3,30,Serang
2021-03-20,24,33.2,27.1,82,,3.5,4,10,Serang
2021-03-21,24.2,33.6,28.6,78,7.4,6.6,4,210,Serang
2021-03-22,25,33.6,28.6,74,0,7.5,4,240,Serang
2021-03-23,24,33.2,28.1,77,,10.3,4,240,Serang
2021-03-24,24.6,32,26.6,86,0.4,8.1,9,260,Serang
2021-03-25,24.9,31.6,27.6,83,0.4,0.7,3,30,Serang
2021-03-26,23.2,34.6,28.3,78,1,1.8,5,280,Serang
2021-03-27,23.6,33.4,27.1,82,0,8.1,3,330,Serang
2021-03-28,23.4,34.6,28.4,82,6.7,3.5,5,230,Serang
2021-03-29,25.2,32.4,28,84,4.1,8.2,3,210,Serang
2021-03-30,25,30.4,27.3,83,,3.8,3,10,Serang
2021-03-31,25.2,32.2,28,80,,0.2,10,190,Serang
2021-04-01,23.8,30.4,26.6,84,39.8,7.2,3,240,Serang
2021-04-02,23.6,32.5,28.2,81,0,0,5,200,Serang
2021-04-03,23.2,33.4,25.4,93,77.8,7.4,2,110,Serang
2021-04-04,23.7,32,27.4,86,15,0,3,230,Serang
2021-04-05,24.6,30,27.4,85,,4.2,6,170,Serang
2021-04-06,24,31.6,28.1,75,8.8,0,5,230,Serang
2021-04-07,23.6,31.1,26.7,82,2.2,1.5,5,200,Serang
2021-04-08,24.6,33.4,29.2,72,0.2,2.3,4,220,Serang
2021-04-09,23.9,32.8,28.2,81,0,9.5,8,10,Serang
2021-04-10,24,32,27.1,84,3.2,9,3,270,Serang
2021-04-11,24.3,32.4,25.4,90,2.8,4.2,4,360,Serang
2021-04-12,23.6,33.4,26.1,85,26,3.2,3,360,Serang
2021-04-13,23.5,33.4,27.3,84,5.8,7.7,2,270,Serang
2021-04-14,23.7,31.4,26.5,88,0.6,6.5,3,170,Serang
2021-04-15,23.4,32.6,24.7,95,0.8,5,3,170,Serang
2021-04-16,23.2,32.2,27.1,85,34,4.4,3,290,Serang
2021-04-17,23,32.8,27.9,82,0,8.6,5,360,Serang
2021-04-18,25.2,33.8,28.1,80,0,6.1,4,10,Serang
2021-04-19,24.2,33.4,28.2,80,0,6.5,5,20,Serang
2021-04-20,24.4,33.6,28.2,80,,9.8,5,10,Serang
2021-04-21,23.6,33.2,27.6,82,15.6,6.1,4,10,Serang
2021-04-22,23.6,33.3,28.2,76,0,9.8,4,10,Serang
2021-04-23,23,34.4,27.6,77,0,9.9,3,30,Serang
2021-04-24,23.5,34,28,76,0,9.8,3,220,Serang
2021-04-25,24.2,33.6,28.5,76,1.4,7.9,4,20,Serang
2021-04-26,24.6,34,28.3,77,0,9.5,4,360,Serang
2021-04-27,23.8,33.7,28.3,80,0,9.8,4,360,Serang
2021-04-28,24.8,33,27.8,81,0,7,3,20,Serang
2021-04-29,23.8,33.2,27.8,82,0,3.9,3,40,Serang
2021-04-30,24.3,31.8,27,83,0,7.5,3,130,Serang
2021-05-01,25,33.4,28.8,79,0.4,1.9,4,30,Serang
2021-05-02,24.4,32.8,28,83,5,6.5,3,20,Serang
2021-05-03,25.4,33,28.6,80,0.2,4.5,5,30,Serang
2021-05-04,24.6,33.6,28.6,81,0.5,5.7,4,30,Serang
2021-05-05,25,33.8,28.5,80,,6.1,3,160,Serang
2021-05-06,25.3,33,28.5,80,0,1.8,3,20,Serang
2021-05-07,24.6,34,28.5,79,0,4,4,20,Serang
2021-05-08,24.8,33.4,28.6,81,0.4,7.5,3,50,Serang
2021-05-09,25,34,28.6,79,2.8,5.3,3,30,Serang
2021-05-10,24.8,33.2,29.2,76,0,8.4,3,20,Serang
2021-05-11,25.4,34.6,29.2,74,0,3.6,4,360,Serang
2021-05-12,25.3,34.4,29.1,78,0,9.8,4,10,Serang
2021-05-13,24.8,34.2,28.7,79,0,9,3,30,Serang
2021-05-14,24.5,34,28.6,78,0,8.2,3,20,Serang
2021-05-15,26,33.6,29.3,75,0,3.8,4,30,Serang
2021-05-16,25.8,33.1,28.6,80,0,7.5,3,60,Serang
2021-05-17,24.7,33.3,27.4,87,0,4.2,2,30,Serang
2021-05-18,24.2,32.4,27.4,80,6.6,3.2,2,90,Serang
2021-05-19,24.1,33.8,28.3,77,0,2.6,3,20,Serang
2021-05-20,24.4,31.8,27.8,83,0,8.4,3,50,Serang
2021-05-21,24.6,33.4,27.9,83,0,1.5,5,10,Serang
2021-05-22,25.2,31.6,27.4,86,5.2,5.4,3,100,Serang
2021-05-23,24.4,34,28.1,80,0.1,0,3,20,Serang
2021-05-24,24.1,32.4,27.9,84,5.1,5.4,3,20,Serang
2021-05-25,24.2,33.5,27.9,82,8,3.4,3,10,Serang
2021-05-26,24.2,32.8,28.4,80,0,8.4,6,10,Serang
2021-05-27,25.4,33.6,28.8,78,0,9.5,5,30,Serang
2021-05-28,25.4,34.4,29.1,78,0,9.8,8,30,Serang
2021-05-29,23,31.2,26.2,90,7.4,8.6,3,90,Serang
2021-05-30,24.4,32.8,27.7,84,8.2,1.6,3,10,Serang
2021-05-31,24.1,32.7,27.9,84,0,7.2,3,60,Serang
2021-06-01,24.5,32.9,28,81,4.3,1.8,5,80,Serang
2021-06-02,24.6,33.6,28,80,0,6,3,10,Serang
2021-06-03,24.8,33.8,27.9,85,0,4.4,3,10,Serang
2021-06-04,24.5,31,26.5,94,0.6,3.8,2,30,Serang
2021-06-05,23.6,32.9,27.2,86,61.6,0.3,2,30,Serang
2021-06-06,24,32.8,28,82,0,6,2,50,Serang
2021-06-07,23.5,33,27.4,82,2,5.3,4,10,Serang
2021-06-08,23.7,34,27.8,76,2,8.7,3,90,Serang
